brand;year;transmission;mileage;fuelType;tax;mpg;engineSize;price
bmw;2019;Semi-Auto;4419;Petrol;145.0;26.9;4.4;61797
merc;2015;Automatic;31112;Diesel;330.0;36.2;3.0;31723
vw;2016;Manual;18141;Diesel;30.0;62.8;2.0;13300
skoda;2017;Manual;18325;Petrol;145.0;61.4;1.0;9625
skoda;2018;Manual;15006;Petrol;145.0;57.7;1.0;10495
bmw;2019;Automatic;1616;Diesel;145.0;39.8;3.0;63806
ford;2016;Manual;13728;Petrol;30.0;57.7;1.2;6190
vw;2016;Manual;30989;Petrol;145.0;46.3;2.0;14750
merc;2016;Manual;60872;Diesel;20.0;67.3;2.1;14750
ford;2020;Manual;2000;Petrol;150.0;51.4;1.0;20999
hyundi;2014;Manual;71289;Diesel;145.0;53.3;1.7;7298
audi;2016;Automatic;37235;Diesel;205.0;48.7;3.0;22000
vauxhall;2017;Automatic;8596;Petrol;205.0;42.8;1.4;12298
hyundi;2018;Manual;37530;Diesel;145.0;37.7;2.5;14795
toyota;2018;Manual;35228;Petrol;145.0;36.2;2.0;18498
hyundi;2019;Semi-Auto;4890;Diesel;145.0;39.2;2.2;34495
toyota;2009;Manual;148371;Diesel;150.0;55.4;2.0;1985
ford;2017;Manual;30519;Petrol;30.0;54.3;1.0;11180
vauxhall;2016;Manual;11991;Petrol;260.0;36.2;2.0;15995
ford;2010;Manual;80000;Petrol;30.0;55.4;1.2;3195
toyota;2017;Automatic;31774;Petrol;145.0;46.3;1.8;13295
audi;2018;Semi-Auto;12195;Diesel;145.0;50.4;3.0;35995
ford;2017;Manual;17242;Diesel;30.0;64.2;1.5;12444
vauxhall;2019;Manual;5315;Petrol;145.0;42.2;1.2;19000
toyota;2017;Manual;46498;Diesel;260.0;40.4;2.4;18698
vauxhall;2017;Automatic;5817;Petrol;200.0;42.8;1.4;11995
ford;2018;Manual;31504;Diesel;145.0;56.5;2.0;19499
audi;2011;Automatic;105000;Diesel;235.0;42.8;3.0;9995
audi;2017;Semi-Auto;37492;Diesel;205.0;47.1;3.0;24500
toyota;2020;Manual;3250;Petrol;145.0;33.2;2.0;25995
toyota;2019;Semi-Auto;327;Petrol;145.0;34.5;3.0;47498
ford;2012;Manual;74000;Diesel;20.0;68.9;1.2;3499
skoda;2019;Automatic;1000;Petrol;145.0;43.5;1.5;21995
merc;2018;Semi-Auto;12955;Diesel;145.0;52.3;3.0;41632
vw;2019;Semi-Auto;7034;Diesel;145.0;29.4;2.0;48990
bmw;2014;Automatic;53329;Diesel;160.0;50.4;3.0;13999
merc;2015;Automatic;77719;Diesel;160.0;51.4;3.0;19991
merc;2020;Semi-Auto;3999;Diesel;145.0;40.4;3.0;64980
skoda;2016;Semi-Auto;32174;Petrol;125.0;51.4;1.2;10995
hyundi;2015;Automatic;29000;Petrol;205.0;43.6;1.6;7785
